Date Collected,Species,Life Stage,Tank,Treatment,Experiment Name,Sequencing  Date,Sample ID,Tank,Treatment,09-Sep-11,10-Sep-11,11-Sep-11,12-Sep-11,Released
16-Sep-11,Pocillopora damicornis,Adult,7,HIGH,Pdam Hawaii Summer 2011,12-Aug,1026,7,High,,,2,38,No
16-Sep-11,Pocillopora damicornis,Adult,14,AMB,Pdam Hawaii Summer 2011,12-Aug,1028,14,Amb,,26,10,,No
16-Sep-11,Pocillopora damicornis,Adult,5,HIGH,Pdam Hawaii Summer 2011,12-Aug,1030,5,High,15,27,4,7,Yes
16-Sep-11,Pocillopora damicornis,Adult,16,HIGH,Pdam Hawaii Summer 2011,12-Aug,1032,16,High,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,13,AMB,Pdam Hawaii Summer 2011,12-Aug,1034,13,Amb,,7,8,,No
16-Sep-11,Pocillopora damicornis,Adult,19,HIGH,Pdam Hawaii Summer 2011,12-Aug,1036,19,High,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,1,AMB,Pdam Hawaii Summer 2011,12-Aug,1038,1,Amb,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,2,AMB,Pdam Hawaii Summer 2011,12-Aug,1040,2,Amb,200,30,,1,Yes
16-Sep-11,Pocillopora damicornis,Adult,8,HIGH,Pdam Hawaii Summer 2011,12-Aug,1042,8,High,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,4,HIGH,Pdam Hawaii Summer 2011,12-Aug,1044,4,High,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,6,HIGH,Pdam Hawaii Summer 2011,02-May-12,H1,6,High,,,2,1,No
16-Sep-11,Pocillopora damicornis,Adult,21,HIGH,Pdam Hawaii Summer 2011,02-May-12,H10,21,High,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,24,AMB,Pdam Hawaii Summer 2011,02-May-12,H11,24,Amb,,26,33,54,Yes
16-Sep-11,Pocillopora damicornis,Adult,12,AMB,Pdam Hawaii Summer 2011,02-May-12,H12,12,Amb,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,23,AMB,Pdam Hawaii Summer 2011,02-May-12,H2,23,Amb,,,3,1,No
16-Sep-11,Pocillopora damicornis,Adult,17,HIGH,Pdam Hawaii Summer 2011,02-May-12,H3,17,High,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,22,AMB,Pdam Hawaii Summer 2011,02-May-12,H4,22,Amb,,,,118,Yes
16-Sep-11,Pocillopora damicornis,Adult,3,AMB,Pdam Hawaii Summer 2011,02-May-12,H5,3,Amb,,1,,,No
16-Sep-11,Pocillopora damicornis,Adult,10,AMB,Pdam Hawaii Summer 2011,02-May-12,H6,10,Amb,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,15,AMB,Pdam Hawaii Summer 2011,02-May-12,H7,15,Amb,,,,,No
16-Sep-11,Pocillopora damicornis,Adult,18,HIGH,Pdam Hawaii Summer 2011,02-May-12,H8,18,High,,21,14,4,No
16-Sep-11,Pocillopora damicornis,Adult,9,HIGH,Pdam Hawaii Summer 2011,02-May-12,H9,9,High,,,,205,Yes
