	Cardio	CparvumIowaII	CveliaCCMP	Neph10	Pfalciparum3D7	Tgondii	Total
OG0000000	42	16	23	602	22	25	730
OG0000001	27	5	23	558	13	15	641
OG0000002	65	6	395	23	6	6	501
OG0000003	44	17	30	262	10	16	379
OG0000004	29	6	6	283	6	9	339
OG0000005	0	2	287	0	0	0	289
OG0000006	32	0	168	24	4	9	237
OG0000007	14	2	197	2	0	0	215
OG0000008	3	1	201	0	1	2	208
OG0000009	27	3	45	112	7	10	204
OG0000010	0	0	184	0	0	1	185
OG0000011	0	0	139	0	2	2	143
OG0000012	0	0	140	0	2	0	142
OG0000013	20	0	117	0	1	0	138
OG0000014	14	2	50	66	0	5	137
OG0000015	3	1	1	125	2	2	134
OG0000016	12	1	5	107	1	3	129
OG0000017	6	2	11	101	1	3	124
OG0000018	0	0	1	0	98	0	99
OG0000019	7	4	10	74	1	2	98
OG0000020	34	3	20	18	4	18	97
OG0000021	20	1	3	61	2	2	89
OG0000022	9	1	3	69	2	3	87
OG0000023	3	0	84	0	0	0	87
OG0000024	43	1	18	5	6	13	86
OG0000025	15	1	9	56	3	1	85
OG0000026	5	2	0	74	2	2	85
OG0000027	16	0	60	6	1	1	84
OG0000028	10	1	3	63	3	3	83
OG0000029	7	1	1	72	1	1	83
OG0000030	6	2	10	59	1	4	82
OG0000031	5	1	3	70	1	1	81
OG0000032	1	0	0	80	0	0	81
OG0000033	28	1	2	47	1	1	80
OG0000034	8	3	5	59	2	2	79
OG0000035	3	2	17	54	1	2	79
OG0000036	11	0	2	61	1	2	77
OG0000037	6	0	1	67	1	1	76
OG0000038	19	3	4	45	3	2	76
OG0000039	26	1	21	12	3	13	76
OG0000040	8	1	2	63	1	1	76
OG0000041	5	1	1	63	0	1	71
OG0000042	7	1	2	41	4	16	71
OG0000043	18	1	4	45	1	2	71
OG0000044	2	1	5	60	1	1	70
OG0000045	9	2	5	52	0	2	70
OG0000046	17	2	5	39	3	3	69
OG0000047	15	0	1	51	0	1	68
OG0000048	12	2	1	47	3	3	68
OG0000049	6	1	3	56	1	1	68
OG0000050	16	3	16	25	4	4	68
OG0000051	0	0	68	0	0	0	68
OG0000052	8	0	1	56	0	0	65
OG0000053	2	1	3	56	1	1	64
OG0000054	23	4	7	22	3	4	63
OG0000055	1	0	57	0	2	3	63
OG0000056	11	3	11	31	4	3	63
OG0000057	4	5	32	11	3	7	62
OG0000058	5	2	6	40	3	4	60
OG0000059	11	1	4	36	3	4	59
OG0000060	6	1	3	47	1	1	59
OG0000061	11	1	17	24	1	4	58
OG0000062	8	0	41	4	4	1	58
OG0000063	10	4	6	29	3	6	58
OG0000064	13	1	1	40	1	1	57
OG0000065	10	1	6	29	4	6	56
OG0000066	3	0	1	50	1	1	56
OG0000067	14	1	4	34	1	2	56
OG0000068	2	0	0	54	0	0	56
OG0000069	0	0	56	0	0	0	56
OG0000070	8	2	3	37	2	3	55
OG0000071	6	1	1	45	1	1	55
OG0000072	16	1	3	31	2	2	55
OG0000073	17	0	1	36	0	1	55
OG0000074	2	1	1	50	0	1	55
OG0000075	2	1	3	46	1	1	54
OG0000076	8	1	1	42	1	1	54
OG0000077	2	1	3	46	1	1	54
OG0000078	1	0	48	3	0	1	53
OG0000079	3	1	2	46	1	0	53
OG0000080	12	2	3	32	2	2	53
OG0000081	0	0	50	1	1	1	53
OG0000082	0	0	53	0	0	0	53
OG0000083	11	2	25	12	1	1	52
OG0000084	12	0	0	40	0	0	52
OG0000085	10	1	3	36	1	1	52
OG0000086	10	1	1	38	1	1	52
OG0000087	11	1	4	34	1	1	52
OG0000088	1	1	49	1	0	0	52
