Individual	Population
BA_B10	Benin
BA_B2	Benin
BA_B3	Benin
BA_B4	Benin
BA_B5	Benin
BA_B6	Benin
BA_B7	Benin
BA_B8	Benin
BA_B9	Benin
GA_A10	Ghana
GA_A1	Ghana
GA_A2	Ghana
GA_A4	Ghana
GA_A5	Ghana
GA_A6	Ghana
GA_A7	Ghana
GA_A8	Ghana
GA_A14	Ghana
GA_A9	Ghana
GA_A15	Ghana
MA_D15	Mauritania
MA_D16	Mauritania
MA_D17	Mauritania
MA_D18	Mauritania
MA_D1	Mauritania
MA_D2	Mauritania
MA_D3	Mauritania
MA_D11	Mauritania
MA_D7	Mauritania
MA_D8	Mauritania
MA_D12	Mauritania
MA_D13 Mauritania
MA_D9	Mauritania
MA_D14	Mauritania
SA_C10	Senegal
SA_C1	Senegal
SA_C2	Senegal
SA_C3	Senegal
SA_C4	Senegal
SA_C5	Senegal
SA_C6	Senegal
SA_C7	Senegal
SA_C8	Senegal
SA_C9	Senegal
TA_E10	Togo
TA_E1	Togo
TA_E2	Togo
TA_E3	Togo
TA_E4	Togo
TA_E5	Togo
TA_E6	Togo
TA_E7	Togo
TA_E8	Togo
TA_E9	Togo
