# BUSCO version is: 2.0 
# The lineage dataset is: alveolata_stramenophiles_ensembl (Creation date: 2016-11-15, number of species: 24, number of BUSCOs: 234)
# To reproduce this run: python ../run_BUSCO.py -i /data3/lanelab/liz/BIO594/Neph/Neph_wmm3_nulc.fasta -o nephbusco -l /data3/lanelab/liz/BIO594/alveolata_stramenophiles_ensembl/ -m tran -c 1 -sp toxoplasma
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000000134	Duplicated	TRINITY_DN174048_c0_g1_i1|m.140521	201.2	159
EPrGT00050000000134	Duplicated	TRINITY_DN174048_c0_g1_i3|m.140522	200.2	157
EPrGT00050000000134	Duplicated	TRINITY_DN80797_c0_g1_i2|m.39035	214.4	156
EPrGT00050000000260	Missing
EPrGT00050000000311	Duplicated	TRINITY_DN109582_c0_g1_i2|m.58588	450.5	418
EPrGT00050000000311	Duplicated	TRINITY_DN174654_c0_g1_i1|m.141883	450.5	418
EPrGT00050000000311	Duplicated	TRINITY_DN174654_c0_g1_i2|m.141884	450.5	418
EPrGT00050000000320	Duplicated	TRINITY_DN120060_c0_g1_i1|m.66385	158.7	112
EPrGT00050000000320	Duplicated	TRINITY_DN153125_c1_g1_i1|m.103509	156.8	112
EPrGT00050000000320	Duplicated	TRINITY_DN81049_c0_g1_i1|m.39249	160.6	112
EPrGT00050000000355	Missing
EPrGT00050000000367	Missing
EPrGT00050000000428	Complete	TRINITY_DN177083_c0_g1_i1|m.147430	264.0	261
EPrGT00050000000439	Missing
EPrGT00050000000453	Missing
EPrGT00050000000506	Complete	TRINITY_DN177141_c0_g1_i1|m.147482	931.8	810
EPrGT00050000000516	Missing
EPrGT00050000000547	Missing
EPrGT00050000000567	Missing
EPrGT00050000000570	Missing
EPrGT00050000000590	Missing
EPrGT00050000000597	Duplicated	TRINITY_DN134346_c0_g1_i1|m.80722	431.5	345
EPrGT00050000000597	Duplicated	TRINITY_DN16716_c0_g1_i1|m.7590	402.1	268
EPrGT00050000000597	Duplicated	TRINITY_DN16716_c0_g2_i1|m.7591	403.1	266
EPrGT00050000000633	Missing
EPrGT00050000000638	Fragmented	TRINITY_DN180331_c0_g1_i1|m.156369	496.2	365
EPrGT00050000000648	Missing
EPrGT00050000000656	Missing
EPrGT00050000000676	Missing
EPrGT00050000000764	Duplicated	TRINITY_DN167894_c0_g1_i2|m.127482	263.9	184
EPrGT00050000000764	Duplicated	TRINITY_DN172917_c0_g2_i1|m.138101	263.9	184
EPrGT00050000000764	Duplicated	TRINITY_DN172917_c0_g2_i2|m.138104	262.2	184
EPrGT00050000000788	Missing
EPrGT00050000000790	Duplicated	TRINITY_DN145537_c0_g1_i1|m.92805	193.1	238
EPrGT00050000000790	Duplicated	TRINITY_DN168499_c0_g2_i1|m.128610	193.7	238
EPrGT00050000000820	Missing
EPrGT00050000000821	Missing
EPrGT00050000000845	Duplicated	TRINITY_DN162009_c0_g1_i1|m.117355	196.3	156
EPrGT00050000000845	Duplicated	TRINITY_DN162009_c0_g1_i3|m.117357	195.2	156
EPrGT00050000000845	Duplicated	TRINITY_DN86934_c0_g1_i1|m.42973	185.3	178
EPrGT00050000000974	Missing
EPrGT00050000000978	Missing
EPrGT00050000001072	Duplicated	TRINITY_DN158506_c0_g1_i1|m.111295	1048.9	781
EPrGT00050000001072	Duplicated	TRINITY_DN158506_c0_g1_i2|m.111296	1048.9	781
EPrGT00050000001072	Duplicated	TRINITY_DN166474_c0_g1_i1|m.124523	1054.9	777
EPrGT00050000001214	Duplicated	TRINITY_DN184145_c0_g1_i1|m.167019	378.0	344
EPrGT00050000001214	Duplicated	TRINITY_DN184145_c0_g1_i2|m.167021	378.0	344
EPrGT00050000001214	Duplicated	TRINITY_DN184145_c0_g1_i3|m.167023	378.0	344
EPrGT00050000001261	Missing
EPrGT00050000001319	Missing
EPrGT00050000001321	Complete	TRINITY_DN165237_c0_g1_i1|m.122273	580.0	491
EPrGT00050000001331	Missing
EPrGT00050000001368	Missing
EPrGT00050000001398	Missing
EPrGT00050000001406	Duplicated	TRINITY_DN167746_c0_g1_i1|m.127119	398.3	410
EPrGT00050000001406	Duplicated	TRINITY_DN173716_c1_g1_i1|m.139991	398.3	410
EPrGT00050000001412	Complete	TRINITY_DN145388_c0_g1_i1|m.92663	3917.1	1974
EPrGT00050000001435	Missing
EPrGT00050000001604	Duplicated	TRINITY_DN146204_c2_g1_i7|m.93563	135.6	143
EPrGT00050000001604	Duplicated	TRINITY_DN167772_c0_g1_i1|m.127262	146.4	145
EPrGT00050000001604	Duplicated	TRINITY_DN184058_c2_g1_i1|m.166858	146.4	145
EPrGT00050000001796	Missing
EPrGT00050000001854	Duplicated	TRINITY_DN131200_c0_g1_i1|m.77517	178.0	174
EPrGT00050000001854	Duplicated	TRINITY_DN150512_c0_g1_i1|m.99325	173.4	145
EPrGT00050000001854	Duplicated	TRINITY_DN168185_c0_g1_i1|m.128043	173.4	145
EPrGT00050000001855	Missing
EPrGT00050000001885	Duplicated	TRINITY_DN136307_c0_g1_i1|m.82771	249.0	171
EPrGT00050000001885	Duplicated	TRINITY_DN140814_c0_g2_i1|m.87523	238.7	172
EPrGT00050000001885	Duplicated	TRINITY_DN157766_c0_g1_i1|m.110287	262.8	245
EPrGT00050000001927	Missing
EPrGT00050000001937	Duplicated	TRINITY_DN171067_c0_g1_i1|m.133981	689.8	929
EPrGT00050000001937	Duplicated	TRINITY_DN176087_c0_g1_i1|m.145175	704.7	947
EPrGT00050000001937	Duplicated	TRINITY_DN179365_c0_g2_i1|m.153560	642.1	873
EPrGT00050000001969	Missing
EPrGT00050000002100	Missing
EPrGT00050000002128	Missing
EPrGT00050000002142	Duplicated	TRINITY_DN118476_c0_g3_i1|m.65050	252.2	197
EPrGT00050000002142	Duplicated	TRINITY_DN179559_c0_g2_i4|m.154259	256.8	198
EPrGT00050000002142	Duplicated	TRINITY_DN45386_c0_g1_i1|m.21681	252.2	197
EPrGT00050000002199	Missing
EPrGT00050000002214	Missing
EPrGT00050000002291	Missing
EPrGT00050000002346	Missing
EPrGT00050000002389	Missing
EPrGT00050000002467	Duplicated	TRINITY_DN175064_c1_g1_i1|m.142900	536.6	634
EPrGT00050000002467	Duplicated	TRINITY_DN178776_c0_g1_i1|m.152080	536.6	634
EPrGT00050000002494	Missing
EPrGT00050000002505	Duplicated	TRINITY_DN108294_c0_g1_i1|m.57507	446.6	278
EPrGT00050000002505	Duplicated	TRINITY_DN147380_c0_g1_i2|m.94925	446.6	278
EPrGT00050000002505	Duplicated	TRINITY_DN174130_c0_g1_i4|m.140748	430.8	274
EPrGT00050000002533	Missing
EPrGT00050000002690	Duplicated	TRINITY_DN163308_c0_g1_i1|m.119306	237.3	269
EPrGT00050000002690	Duplicated	TRINITY_DN170050_c0_g1_i1|m.131660	250.2	303
EPrGT00050000002854	Duplicated	TRINITY_DN112918_c0_g1_i1|m.61238	544.5	387
EPrGT00050000002854	Duplicated	TRINITY_DN149737_c0_g1_i1|m.98244	544.4	387
EPrGT00050000002854	Duplicated	TRINITY_DN180430_c0_g2_i1|m.156550	543.7	382
EPrGT00050000002860	Missing
EPrGT00050000002879	Duplicated	TRINITY_DN163753_c0_g1_i2|m.119784	123.1	136
EPrGT00050000002879	Duplicated	TRINITY_DN163753_c0_g1_i3|m.119788	123.1	136
EPrGT00050000002879	Duplicated	TRINITY_DN163753_c0_g1_i3|m.119789	123.1	136
EPrGT00050000002887	Duplicated	TRINITY_DN169157_c0_g2_i4|m.129861	385.6	247
EPrGT00050000002887	Duplicated	TRINITY_DN170264_c1_g2_i1|m.132020	358.9	233
EPrGT00050000002887	Duplicated	TRINITY_DN178433_c0_g2_i1|m.151114	366.7	265
EPrGT00050000002919	Missing
EPrGT00050000003007	Missing
EPrGT00050000003076	Missing
EPrGT00050000003113	Missing
EPrGT00050000003116	Missing
EPrGT00050000003119	Duplicated	TRINITY_DN151078_c0_g1_i1|m.100163	205.2	157
EPrGT00050000003119	Duplicated	TRINITY_DN151078_c0_g1_i2|m.100164	205.2	157
EPrGT00050000003122	Duplicated	TRINITY_DN152828_c0_g1_i1|m.103064	191.5	137
EPrGT00050000003122	Duplicated	TRINITY_DN168221_c0_g1_i1|m.128116	191.5	137
EPrGT00050000003160	Missing
EPrGT00050000003199	Missing
EPrGT00050000003237	Duplicated	TRINITY_DN154902_c0_g1_i1|m.106209	152.2	87
EPrGT00050000003237	Duplicated	TRINITY_DN167599_c0_g1_i1|m.126808	161.4	86
EPrGT00050000003237	Duplicated	TRINITY_DN23292_c0_g1_i1|m.11049	161.4	86
EPrGT00050000003239	Duplicated	TRINITY_DN183843_c0_g1_i1|m.166062	624.7	571
EPrGT00050000003239	Duplicated	TRINITY_DN183843_c0_g1_i3|m.166064	613.9	522
EPrGT00050000003239	Duplicated	TRINITY_DN57369_c0_g2_i1|m.27374	572.2	565
EPrGT00050000003303	Missing
EPrGT00050000003367	Duplicated	TRINITY_DN110730_c0_g1_i1|m.59435	149.8	102
